Sentiment,Tweet
Negative,I hope I m not too late please bless me
Positive,Check mine too please
Positive,I must be the 15th person
Positive,show dem Dm me pls son of mercy
Positive,Make me The One
Positive,I hope you see this
Positive,This is one of my side hustle I grind when I m back from work at 6pm to make money for transport fare for the next day 50n
Negative,Yinmu not fair Same girls wey dey yab chioma Not referring to you o
Positive,Omo Baba olowo for the world
Positive,I m waiting for To Retweet and DM me
Positive,Check your dm
Positive,baba God let locate me by God s grace Amen I only believe in
Positive,I need this phone for my baby girl Bless me OBO Bless
Positive,Thanks boss
Positive,My oga pls bless ur sister abeg let me have a better phone sir pls
Positive,If there s space for an extra one lol
Negative,Baba me to wan get one
Positive,uhhh bumbum
Positive,1 more
Positive,Lord answer my prayer
Positive,If today I no win I go win tomorrow God bless
Negative,even of its over at least you can still help me with one
Positive,Baba consider me I ve been hearing of your good deeds i want to witness it this time
Positive,Did I offend anybody
Positive,Baba imade God bless you more more more more more more and more Amen
Positive,OBO Bless Me with a good phone
Positive,Why doubting my passion Is it your passion
Negative,You go X other brands you for you press downward button beside message
Positive,SON OF MERCY OBO LET ME BE A WINNER TOO
Positive,ha Son of mercy This thing go soon finish I need this phone
Positive,Baba no break my heart Na beg I Dey beg you
Positive,So this person won and deleted his tweet
Positive,What about me
Positive,Baba for the money OBO Baddest of all bless me na
Positive,At this point I give up
Positive,I m sure Mercy will find me even if I miss this God bless for the giveaway
Positive,Yeeeeh why the delete him post again na I pray he receive it sha
Positive,Oriade baba imade pls make I win oooo
Positive,to stand a chance
Positive,Hot 7 fall on me E better
Positive,please I really need to win this for my nephew This will really mean a lot to him and put a smile on h
Positive,Egbon mi Son of mercy plzzz Plz let me win dis infinix too
Positive,Son of mercy way
Positive,please make me your last winner OBO
Positive,Davido please help meeeeeeeeeeeeeeee
Positive,This is one of my side hustle I grind when I m back from work at 6pm to make money for transport fare for the next day 50n
Positive,let it fall on me
Positive,Abeg boss help me upgraded from this my kpalasa phone way I dey use INF
Positive,Son of mercy and God OBO am counting on you oh This phone
Positive,Just make me the one for the last 15 I don t mind
Positive,Baddest Bless up
Positive,He has deleted the tweet choose me ur teenager fan
Positive,let it fall on me
Positive,Nothing in my DM GIVER NEVER LACK SON OF MERCY
Positive,One of the greatest artist in Nigeria No fake things
Positive,Pls i beg you do not pass me by pls pls
Positive,Son of grace please let me win i need this God bless you
Positive,Baba I no go leave u till u bless me o
Positive,Wow They listen to Aforbeats and in the Chelsea dressing room Woow
Positive,Baba na the second time B this oo bless up We rise by lifting others
Positive,please give me a chance to win this phone my phone is on its last life I really n
Negative,Davido u didn t pick we gals Not fair
Positive,I wish it s for me
Positive,Baba Imade throw me one HOT 7 make i become hotter
Positive,The tweet is unavailable Baba
Positive,I m sure over 1 million fans and haters have done that already Lemme mind my business jeje
Positive,Can i be the last lucky one
Positive,happy for you Make e check my own too nah
Positive,OBO oya prove yourself boss check my tweet
Positive,This must be me
Positive,please help my life
Negative,Please bless me too this will mean a lot thank you and God bless you
Positive,Boss of all bosses
Positive,baba I done dey call lati since make him pick nah let this blessings fall on me
Positive,Oya Oga Wire me one Infinix hot 7
Positive,Nigerians kindly retweet till this work gets to Davido My kid brother did it
Positive,abeg na if not for anything bcuz of God nd imade fa plz pick me
Positive,GOD EHHHHHhH DAVIDO SEE ME NOW
Positive,OBO I dey expect oo
Positive,My turn I know Son of mercy seeke out here
Positive,OBO baba make God use you Bless me with this device oooo
Positive,Just to make a confirmation whether am lying that am a cripple or not sir
Positive,to stand a chance
Positive,OBO Help your Boy
Negative,You won t be disappointed boss Download Slowly by Ganz for free
Positive,Obo for the world
Positive,Obo baba this infinix lover and lover of your music here deserve this latest phone
Positive,I vaguely remember them beefing but wasn t too sure what it was about Davido wa tella Are i2baba is washed Yerrr
Positive,Village people ooooooh this might be me oooo and now I can t view it come Savage this oooo
Positive,Baba help me pls I will cry ooo let this blessing fall on me
Positive,Please I need this Bleesing Oo Please OBO touch me
Positive,Baba let me get it too na beg I dey beg oooo
Positive,KALO CONNECT make e for no cause GOBE cos this AYE wey we Dey so Na o
Positive,Obo for the world
Positive,Please DM me Ejooor
Positive,OBO Bless Me with a good phone
Positive,I don post my own o since make I see phone use na
Positive,Another person again
Positive,pls i need mercy from you obo Dm me
Positive,Obo lift me too please Son of grace bless up
Positive,please boss help the boy
Positive,the book of remembrance Much love baba
Positive,Please make i win
Positive,Abeg let it fall on me
Positive,Please oga boss Let me win i need this as a surprise for my baby as i no fit buy car
Positive,Download Slowly by Ganz for free
