,Sentiment,Tweet,Tweettime
0,Neutral,Drake don't got nothin' on this kid https://t.co/cagXLoaGD2,2018-07-23 09:26:56
1,Neutral,RT @WORLDWIDENM: #FEFE dethroned Drake on the @Genius app. They checking for it. They want it. They like it. They want to know it. I’m livi…,2018-07-23 09:26:54
2,Neutral,"@jumpman_jayy Take Care - Drake
Forest Hills Drive - J Cole
Enema of the State - Blink 182

Each album holds a spec… https://t.co/dyNF3yxXuS",2018-07-23 09:26:54
3,Negative,RT @SimoneAndPumbaa: Her move when Drake says “and I’m down for you always” I was like YESSS GIRL FUCK IT UP https://t.co/daWHS5hVOW,2018-07-23 09:26:53
4,Neutral,😂😂😂😂😂😂😂😂😂😂😂😂 alright drake head ass https://t.co/pSbeckSvC3,2018-07-23 09:26:52
5,Neutral,"RT @vxtakaki: drake  ja dizia:

foi mal ae po  mas eu só amo minha mãe e minha cama",2018-07-23 09:26:51
6,Positive,"RT @WSHHRAP: Rap artists with the most Grammy wins:

1. Jay Z – 21

1. Kanye West – 21 

2. Eminem – 15 

3. Kendrick Lamar – 12 

4. Laury…",2018-07-23 09:26:46
7,Neutral,RT @benhatem_walid: Drake fait des dégâts... 😱😱 https://t.co/MJbBb1Cp9y,2018-07-23 09:26:43
8,Neutral,"RT @MUFFINftPIZZA: SOY DE LA EPOCA DE BIG TIME RUSH 
SOY DE LA EPOCA DE DRAKE &amp; JOSH
SOY DE LA EPOCA DE ICARLY
SOY DE LA EPOCA DE AUSTIN &amp;…",2018-07-23 09:26:43
9,Negative,"with the next episode in the Uncharted: Drake's Fortune series launching at 5:00pm EST, the usual upload time. See you there! (2/2)",2018-07-23 09:26:38
10,Negative,RT @SimoneAndPumbaa: Her move when Drake says “and I’m down for you always” I was like YESSS GIRL FUCK IT UP https://t.co/daWHS5hVOW,2018-07-23 09:26:38
11,Neutral,"RT @TommySobiesski: me: I’m definitely not drinking tonight
friend: “want another shot?”
me: https://t.co/5pyRzERHWR",2018-07-23 09:26:36
12,Positive,RT @savmarshall15: When Drake said “The FitnessGram Pacer Test is a multistage aerobic capacity test that progressively gets more difficult…,2018-07-23 09:26:33
13,Negative,RT @SimoneAndPumbaa: Her move when Drake says “and I’m down for you always” I was like YESSS GIRL FUCK IT UP https://t.co/daWHS5hVOW,2018-07-23 09:26:32
14,Positive,RT @SOMEXlCAN: When Mexican moms love Drake #InmyfeelingsChallange https://t.co/xcVz14CE1x,2018-07-23 09:26:32
15,Negative,RT @97preme: “Michael Jackson could’ve came a little harder on that drake song” https://t.co/Hq0GH7oDZZ,2018-07-23 09:26:31
16,Neutral,"RT @arianasixgod: kayne and drake: i am a god 
twitter: *crickets* 
ariana: god is a woman
twitter: https://t.co/akgTK0Dans",2018-07-23 09:26:28
17,Neutral,RT @ChildhoodShows: The first and last Drake &amp; Josh intros https://t.co/t4vkfgAX2o,2018-07-23 09:26:26
18,Neutral,"RT @MUFFINftPIZZA: SOY DE LA EPOCA DE BIG TIME RUSH 
SOY DE LA EPOCA DE DRAKE &amp; JOSH
SOY DE LA EPOCA DE ICARLY
SOY DE LA EPOCA DE AUSTIN &amp;…",2018-07-23 09:26:24
19,Neutral,RT @FunnyBIacks: See what Shiggy and Drake done did? Now we got a La Chona Challenge. What world is this? 😂 #lachonachallenge https://t.co/…,2018-07-23 09:26:24
20,Neutral,"RT @RappersSaid: According to Forbes List, these are the highest paid people in Hip Hop this year 🤔

1. Jay Z ($76.5M)
2. Diddy ($64M)
3. B…",2018-07-23 09:26:20
21,Neutral,RT @krystab_: y’all remember that summer we were all cruising around listening to “controlla” and “one dance” by drake &amp; maybe even a littl…,2018-07-23 09:26:12
22,Neutral,"Hey Itsuki, wanna listen to drake later ?",2018-07-23 09:26:10
23,Neutral,RT @Anthonyybaby: Watching the first and last Drake &amp; Josh intros back to back has me in my feels 😭 https://t.co/DQ48GxYbHB,2018-07-23 09:26:10
24,Neutral,Am I the only one here who loves take care by Drake ft. Rihanna so much? 😩❤️,2018-07-23 09:26:09
25,Negative,"RT @solovinyls: fuck kiki and drake. i live for you i long for you, olivia",2018-07-23 09:26:09
26,Neutral,"RT @cxhaitea: ""Wanna get boba?"" https://t.co/R7vMxKNTdn",2018-07-23 09:26:07
27,Neutral,RT @rutika_test17: @rutika_test10 C Drake 2,2018-07-23 09:26:07
28,Positive,RT @sarahlostctrl: when your hairdresser asks if you’re happy with it https://t.co/6nDHh0P4mQ,2018-07-23 09:26:06
29,Neutral,"RT @meiftmin: Liam Payne ""eskiden bir erkek grubunda olmama rağmen, BTS için yetersiz bir üye olurdum. Onların seviyesi çok başka"" derken,…",2018-07-23 09:26:04
30,Neutral,RT @blaketheman1000: Please retweet I want @Drake to see this https://t.co/7LOLY7B9IO,2018-07-23 09:26:02
31,Neutral,Ma poi perché Drake è all'apice della sua carriera proprio ora che ha smesso di fare musica interessante? Post Malo… https://t.co/Qbk0jD8g9r,2018-07-23 09:26:00
32,Negative,RT @ThaRealN1gga: 5 sec's into listening to Drake's Fire In The Booth 😐 #FITB https://t.co/ioSt5IdZLr,2018-07-23 09:26:00
33,Neutral,RT @benhatem_walid: Drake fait des dégâts... 😱😱 https://t.co/MJbBb1Cp9y,2018-07-23 09:26:00
34,Neutral,Drake is my guy but ye did something with that album https://t.co/oInA9nU3LL,2018-07-23 09:25:56
35,Neutral,"#RMFG https://t.co/JFJqli9CKA 
#respectmygrind #drake #LilBaby @Bgf_Jov11 @Drake @lilbaby4PF @LikyThaBo https://t.co/9VITReGIhA",2018-07-23 09:25:55
36,Positive,RT @IamElvisMvoi: Why is Drake worried if Kiki love him🤔I thought he only loved his bed and his mama😏😏,2018-07-23 09:25:55
37,Neutral,Mi è piaciuto un video di @YouTube: https://t.co/shXCdw5UqA In My Feelings (Drake) Dance Challenge Compilation,2018-07-23 09:25:54
38,Neutral,"RT @arianasixgod: kayne and drake: i am a god 
twitter: *crickets* 
ariana: god is a woman
twitter: https://t.co/akgTK0Dans",2018-07-23 09:25:52
39,Positive,RT @IamElvisMvoi: Why is Drake worried if Kiki love him🤔I thought he only loved his bed and his mama😏😏,2018-07-23 09:25:52
40,Neutral,RT @rutika_test18: @rutika_test10 Drake 2,2018-07-23 09:25:52
41,Neutral,"RT @TommySobiesski: me: I’m definitely not drinking tonight
friend: “want another shot?”
me: https://t.co/5pyRzERHWR",2018-07-23 09:25:49
42,Neutral,RT @laaauryyyn: “Wanna smoke ?” https://t.co/phgobkSXM3,2018-07-23 09:25:48
43,Neutral,"RT @Jaack: If this tweet gets 10,000 retweets Drake will be in my next video. I know this will happen. Energy. Don’t ask me how I know bruh.",2018-07-23 09:25:46
44,Positive,I remember watching Drake and Josh and always thought Drake was gorgeous but nowwwwww Josh is the better looking on... what happened?🤔,2018-07-23 09:25:46
45,Neutral,RT @Michelada_Mami: When people offer me shots and I’m already plastered. https://t.co/o1tRhr8NPZ,2018-07-23 09:25:46
46,Neutral,"RT @irishcharts: Taking a big bite of the albums chart, @TheVampsband are zooming back up with the Day Edition of Night and Day 🚀🚀🚀 https:/…",2018-07-23 09:25:37
47,Neutral,RT @Michelada_Mami: When people offer me shots and I’m already plastered. https://t.co/o1tRhr8NPZ,2018-07-23 09:25:36
48,Positive,"RT @_Millsszn: Rjz is our new drake 
Giving us the right lyrics we relate to 😂😂😂😂😂😂😂",2018-07-23 09:25:36
49,Neutral,RT @ChildhoodShows: The first and last Drake &amp; Josh intros https://t.co/t4vkfgAX2o,2018-07-23 09:25:34
50,Negative,RT @SimoneAndPumbaa: Her move when Drake says “and I’m down for you always” I was like YESSS GIRL FUCK IT UP https://t.co/daWHS5hVOW,2018-07-23 09:25:33
51,Neutral,"RT @MUFFINftPIZZA: SOY DE LA EPOCA DE BIG TIME RUSH 
SOY DE LA EPOCA DE DRAKE &amp; JOSH
SOY DE LA EPOCA DE ICARLY
SOY DE LA EPOCA DE AUSTIN &amp;…",2018-07-23 09:25:33
52,Neutral,"RT @TommySobiesski: me: I’m definitely not drinking tonight
friend: “want another shot?”
me: https://t.co/5pyRzERHWR",2018-07-23 09:25:31
53,Neutral,RT @laaauryyyn: “Wanna smoke ?” https://t.co/phgobkSXM3,2018-07-23 09:25:31
54,Neutral,"RT @new_branches: Drake's 'Scorpion' Is No. 1 on Billboard 200 for third straight week

Coming in at No. 2 on this week's chart is Wiz Khal…",2018-07-23 09:25:31
55,Neutral,RT @benhatem_walid: Drake fait des dégâts... 😱😱 https://t.co/MJbBb1Cp9y,2018-07-23 09:25:28
56,Neutral,RT @laaauryyyn: “Wanna smoke ?” https://t.co/phgobkSXM3,2018-07-23 09:25:26
57,Neutral,"RT @softsadsatan: y’all are fine w calling drake or some other rapper 'god' but the second someone calls god a woman u say ""the disrespect.…",2018-07-23 09:25:25
58,Neutral,RT @citations: «Aime avec ton coeur. Pas avec tes yeux.» -Drake,2018-07-23 09:25:24
59,Neutral,RT @ChildhoodShows: The first and last Drake &amp; Josh intros https://t.co/t4vkfgAX2o,2018-07-23 09:25:22
60,Negative,RT @SimoneAndPumbaa: Her move when Drake says “and I’m down for you always” I was like YESSS GIRL FUCK IT UP https://t.co/daWHS5hVOW,2018-07-23 09:25:20
61,Neutral,"RT @vxtakaki: drake  ja dizia:

foi mal ae po  mas eu só amo minha mãe e minha cama",2018-07-23 09:25:18
62,Negative,RT @SimoneAndPumbaa: Her move when Drake says “and I’m down for you always” I was like YESSS GIRL FUCK IT UP https://t.co/daWHS5hVOW,2018-07-23 09:25:18
63,Positive,"RT @RapHubDaily: Rap artists with the most No. 1 singles:

1. Drake - 18
2. Kanye West - 15
3. Missy Elliott - 13
4. Lil Wayne - 10
5. Jay…",2018-07-23 09:25:17
64,Neutral,"RT @MUFFINftPIZZA: SOY DE LA EPOCA DE BIG TIME RUSH 
SOY DE LA EPOCA DE DRAKE &amp; JOSH
SOY DE LA EPOCA DE ICARLY
SOY DE LA EPOCA DE AUSTIN &amp;…",2018-07-23 09:25:12
65,Neutral,RT @vmas: 💜💞Millie Bobby Brown is @Drake's #1 fan! 💜💞 https://t.co/JDN4NCxovL,2018-07-23 09:25:12
66,Neutral,RT @benhatem_walid: Drake fait des dégâts... 😱😱 https://t.co/MJbBb1Cp9y,2018-07-23 09:25:10
67,Positive,"RT @WSHHRAP: Rap artists with the most Grammy wins:

1. Jay Z – 21

1. Kanye West – 21 

2. Eminem – 15 

3. Kendrick Lamar – 12 

4. Laury…",2018-07-23 09:25:10
68,Neutral,@rutika_test10 C Drake 2,2018-07-23 09:25:07
69,Neutral,RT @WORLDWIDENM: #FEFE dethroned Drake on the @Genius app. They checking for it. They want it. They like it. They want to know it. I’m livi…,2018-07-23 09:25:06
70,Negative,RT @SimoneAndPumbaa: Her move when Drake says “and I’m down for you always” I was like YESSS GIRL FUCK IT UP https://t.co/daWHS5hVOW,2018-07-23 09:25:04
71,Negative,RT @SimoneAndPumbaa: Her move when Drake says “and I’m down for you always” I was like YESSS GIRL FUCK IT UP https://t.co/daWHS5hVOW,2018-07-23 09:25:03
72,Neutral,O melhor é meu despertador que é a msc do drake &amp; josh,2018-07-23 09:24:58
73,Neutral,"RT @meiftmin: Liam Payne ""eskiden bir erkek grubunda olmama rağmen, BTS için yetersiz bir üye olurdum. Onların seviyesi çok başka"" derken,…",2018-07-23 09:24:57
74,Neutral,"RT @Kiing_Jordan: Me: Imma chill and stop smoking for a while
Friend: You tryna smoke? I'll spark you up
Me: https://t.co/vaiaiV0pq4",2018-07-23 09:24:55
75,Positive,RT @sarahlostctrl: when your hairdresser asks if you’re happy with it https://t.co/6nDHh0P4mQ,2018-07-23 09:24:55
76,Positive,I liked a @YouTube video https://t.co/FLnj6VIYg3 Poetry Class with Drake - SNL,2018-07-23 09:24:50
77,Neutral,RT @JollofAssassin: Drake nailed the new generation https://t.co/qS7rPCnADS,2018-07-23 09:24:47
78,Positive,"RT @WSHHRAP: Rap artists with the most Grammy wins:

1. Jay Z – 21

1. Kanye West – 21 

2. Eminem – 15 

3. Kendrick Lamar – 12 

4. Laury…",2018-07-23 09:24:46
79,Neutral,RT @laaauryyyn: “Wanna smoke ?” https://t.co/phgobkSXM3,2018-07-23 09:24:46
80,Neutral,"RT @arianasixgod: kayne and drake: i am a god 
twitter: *crickets* 
ariana: god is a woman
twitter: https://t.co/akgTK0Dans",2018-07-23 09:24:45
81,Positive,RT @sarahlostctrl: when your hairdresser asks if you’re happy with it https://t.co/6nDHh0P4mQ,2018-07-23 09:24:44
82,Positive,RT @sarahlostctrl: when your hairdresser asks if you’re happy with it https://t.co/6nDHh0P4mQ,2018-07-23 09:24:39
83,Neutral,RT @ChildhoodShows: The first and last Drake &amp; Josh intros https://t.co/t4vkfgAX2o,2018-07-23 09:24:38
84,Neutral,@rutika_test10 Drake 2,2018-07-23 09:24:36
85,Positive,RT @sarahlostctrl: when your hairdresser asks if you’re happy with it https://t.co/6nDHh0P4mQ,2018-07-23 09:24:33
86,Neutral,I added a video to a @YouTube playlist https://t.co/4jpTQwuPuk Drake - Passionfruit (MORTi Deep Remix),2018-07-23 09:24:31
87,Negative,"RT @solovinyls: fuck kiki and drake. i live for you i long for you, olivia",2018-07-23 09:24:31
